store_id,product_id,current_stock,last_restocked_date,reorder_quantity
S01,P01,24,2026-08-19,150
S01,P02,8,2026-08-12,120
S01,P03,93,2026-08-10,80
S01,P04,64,2026-08-16,60
S01,P05,121,2026-08-15,100
S01,P06,95,2026-08-13,140
S01,P07,71,2026-08-16,50
S01,P08,216,2026-08-22,160
S01,P09,96,2026-08-15,90
S01,P10,78,2026-08-17,70
S01,P11,77,2026-08-18,40
S01,P12,84,2026-08-10,50
S01,P13,35,2026-08-11,30
S01,P14,98,2026-08-14,80
S01,P15,98,2026-08-18,70
S01,P16,61,2026-08-19,50
S01,P17,113,2026-08-15,60
S01,P18,51,2026-08-19,40
S01,P19,31,2026-08-21,30
S01,P20,48,2026-08-14,40
S01,P21,139,2026-08-14,80
S01,P22,85,2026-08-16,60
S01,P23,95,2026-08-21,90
S01,P24,80,2026-08-10,50
S01,P25,62,2026-08-20,50
S02,P01,156,2026-08-16,150
S02,P02,99,2026-08-16,120
S02,P03,101,2026-08-15,80
S02,P04,75,2026-08-24,60
S02,P05,77,2026-08-21,100
S02,P06,136,2026-08-17,140
S02,P07,35,2026-08-12,50
S02,P08,178,2026-08-19,160
S02,P09,97,2026-08-10,90
S02,P10,64,2026-08-25,70
S02,P11,43,2026-08-25,40
S02,P12,87,2026-08-24,50
S02,P13,28,2026-08-16,30
S02,P14,73,2026-08-15,80
S02,P15,87,2026-08-13,70
S02,P16,34,2026-08-10,50
S02,P17,62,2026-08-12,60
S02,P18,40,2026-08-14,40
S02,P19,41,2026-08-16,30
S02,P20,37,2026-08-16,40
S02,P21,119,2026-08-17,80
S02,P22,75,2026-08-20,60
S02,P23,98,2026-08-20,90
S02,P24,45,2026-08-15,50
S02,P25,48,2026-08-11,50
S03,P01,149,2026-08-14,150
S03,P02,130,2026-08-23,120
S03,P03,74,2026-08-20,80
S03,P04,53,2026-08-12,60
S03,P05,143,2026-08-14,100
S03,P06,157,2026-08-17,140
S03,P07,54,2026-08-15,50
S03,P08,236,2026-08-11,160
S03,P09,99,2026-08-11,90
S03,P10,84,2026-08-20,70
S03,P11,61,2026-08-15,40
S03,P12,77,2026-08-23,50
S03,P13,29,2026-08-14,30
S03,P14,100,2026-08-17,80
S03,P15,89,2026-08-21,70
S03,P16,75,2026-08-14,50
S03,P17,40,2026-06-10,30
S03,P18,65,2026-08-22,40
S03,P19,36,2026-08-21,30
S03,P20,55,2026-08-11,40
S03,P21,122,2026-08-12,80
S03,P22,64,2026-08-23,60
S03,P23,96,2026-08-11,90
S03,P24,55,2026-08-12,50
S03,P25,66,2026-08-21,50
S04,P01,274,2026-08-22,150
S04,P02,173,2026-08-11,120
S04,P03,140,2026-08-19,80
S04,P04,76,2026-08-22,60
S04,P05,140,2026-08-13,100
S04,P06,225,2026-08-25,140
S04,P07,54,2026-08-24,50
S04,P08,215,2026-08-22,160
S04,P09,108,2026-08-13,90
S04,P10,103,2026-08-20,70
S04,P11,56,2026-08-13,40
S04,P12,73,2026-08-21,50
S04,P13,42,2026-08-13,30
S04,P14,120,2026-08-25,80
S04,P15,96,2026-08-23,70
S04,P16,70,2026-08-25,50
S04,P17,89,2026-08-20,60
S04,P18,70,2026-08-12,40
S04,P19,55,2026-08-13,30
S04,P20,75,2026-08-15,40
S04,P21,123,2026-08-23,80
S04,P22,81,2026-08-25,60
S04,P23,117,2026-08-15,90
S04,P24,55,2026-08-16,50
S04,P25,58,2026-08-11,50
